n,physical_error_rate,logical_error_rate
3,0.001,0.21939106024616714
3,0.003,0.3083215796897038
3,0.002,0.27135135135135136
3,0.004,0.3320066334991708
3,0.007,0.42177976432344577
3,0.005,0.376453488372093
3,0.006,0.39221556886227543
3,0.008,0.4218289085545723
3,0.009000000000000001,0.43801295896328296
3,0.010000000000000002,0.4666364049024058
3,0.011,0.47375886524822697
3,0.015,0.4894230769230769
3,0.014000000000000002,0.4977645305514158
3,0.016,0.49852216748768474
3,0.013000000000000001,0.48430709802028005
3,0.012,0.48523002421307504
3,0.018000000000000002,0.49333333333333335
3,0.017,0.49709020368574197
3,0.019000000000000003,0.48924988055422836
3,0.02,0.5022200296003947
3,0.021,0.4863412449619346
3,0.024,0.5223492723492723
3,0.023,0.5098814229249012
3,0.022000000000000002,0.4875919117647059
3,0.025,0.5009293680297398
3,0.026000000000000002,0.48759541984732824
3,0.027000000000000003,0.500968992248062
3,0.028,0.48948655256723717
3,0.029,0.5055906660184735
5,0.002,0.23330241187384043
5,0.001,0.18903698141543082
5,0.003,0.28407178911946157
5,0.004,0.3257454312279577
5,0.007,0.4280936454849498
5,0.005,0.3672873311427528
5,0.006,0.39889633425305476
5,0.009000000000000001,0.4945919370698132
5,0.008,0.44594007815892317
5,0.010000000000000002,0.47235955056179774
5,0.011,0.49476688867745006
5,0.012,0.4878286270691334
5,0.013000000000000001,0.5052950075642966
5,0.014000000000000002,0.5016965584100824
5,0.015,0.5025
5,0.016,0.4877580412866059
5,0.017,0.49341784495368113
5,0.018000000000000002,0.4844961240310077
5,0.021,0.5039331366764995
5,0.019000000000000003,0.4979683972911964
5,0.02,0.4965277777777778
5,0.022000000000000002,0.4886418559690672
5,0.023,0.4948554630083293
5,0.024,0.509823677581864
5,0.025,0.5084013442150744
5,0.026000000000000002,0.5119959162838182
5,0.028,0.5213541666666667
5,0.027000000000000003,0.5050359712230216
5,0.029,0.5019157088122606
7,0.002,0.20237631476431633
7,0.003,0.25315227934044615
7,0.001,0.15793390890145878
7,0.008,0.47264150943396227
7,0.006,0.4138344662135146
7,0.009000000000000001,0.48123195380173245
7,0.004,0.3089181734600061
7,0.007,0.4644277507733098
7,0.005,0.33840304182509506
7,0.010000000000000002,0.4936086529006883
7,0.011,0.49546106067845197
7,0.012,0.48793436293436293
7,0.013000000000000001,0.48715553479682394
7,0.014000000000000002,0.5101214574898786
7,0.015,0.4928536224741252
7,0.016,0.5092269326683292
7,0.017,0.515074092999489
7,0.018000000000000002,0.5184049079754601
7,0.02,0.49368273280299485
7,0.019000000000000003,0.5162287480680062
7,0.021,0.49880210828941063
7,0.022000000000000002,0.4907010014306152
7,0.023,0.4876190476190476
7,0.024,0.5091434071222329
7,0.025,0.4958371877890842
7,0.027000000000000003,0.4889975550122249
7,0.026000000000000002,0.4980237154150198
7,0.028,0.49729197439684886
7,0.029,0.48601735776277727
9,0.001,0.12889210716871832
9,0.004,0.2892846883079575
9,0.002,0.17115353238701256
9,0.003,0.22183558068725534
9,0.005,0.3335313335313335
9,0.007,0.4674908424908425
9,0.006,0.4311475409836066
9,0.008,0.46744186046511627
9,0.009000000000000001,0.4926739926739927
9,0.010000000000000002,0.48214285714285715
9,0.011,0.48772426817752595
9,0.012,0.48020982355746306
9,0.013000000000000001,0.4791469194312796
9,0.014000000000000002,0.48460057747834456
9,0.015,0.4847752537457709
9,0.016,0.5017526289434151
9,0.017,0.4854637748038763
9,0.018000000000000002,0.499515503875969
9,0.019000000000000003,0.501002004008016
9,0.02,0.5017456359102245
9,0.021,0.5022579026593076
9,0.022000000000000002,0.499001996007984
9,0.023,0.5070707070707071
9,0.024,0.492639842983317
9,0.025,0.49434333497294636
9,0.026000000000000002,0.4949640287769784
9,0.027000000000000003,0.4975198412698413
9,0.028,0.4876893939393939
9,0.029,0.5086206896551724
11,0.001,0.10578705962720797
11,0.002,0.14995510326249625
11,0.003,0.19367588932806323
11,0.004,0.26124609093095985
11,0.005,0.3336636934258342
11,0.006,0.4304635761589404
11,0.007,0.4616071428571429
11,0.009000000000000001,0.4904489016236867
11,0.008,0.48699763593380613
11,0.010000000000000002,0.5067372473532242
11,0.011,0.5027080256031512
11,0.012,0.48383984563434634
11,0.013000000000000001,0.49073634204275535
11,0.014000000000000002,0.4966507177033493
11,0.015,0.5009624639076035
11,0.016,0.5005
11,0.017,0.49335956714215445
11,0.018000000000000002,0.49781447304516757
11,0.019000000000000003,0.4967805844477464
11,0.02,0.5140809011776754
11,0.021,0.5004826254826255
11,0.022000000000000002,0.5016900048285853
11,0.023,0.4971153846153846
11,0.024,0.5253641386238072
11,0.025,0.5095190380761523
11,0.026000000000000002,0.5086119554204661
11,0.027000000000000003,0.5050100200400801
11,0.028,0.5131180625630676
11,0.029,0.5032418952618454
